Loaded 10000 UniProt IDs
Scanned 3430/10000 | reused=0 | fetched_new=0 | failed=3430
Scanned 3440/10000 | reused=0 | fetched_new=0 | failed=3440
Scanned 3450/10000 | reused=0 | fetched_new=0 | failed=3450
Scanned 3460/10000 | reused=0 | fetched_new=0 | failed=3460
Scanned 3470/10000 | reused=0 | fetched_new=0 | failed=3470
Scanned 3480/10000 | reused=0 | fetched_new=0 | failed=3480
Scanned 3490/10000 | reused=0 | fetched_new=0 | failed=3490
Scanned 3500/10000 | reused=0 | fetched_new=0 | failed=3500
Scanned 3510/10000 | reused=0 | fetched_new=0 | failed=3510
Scanned 3520/10000 | reused=0 | fetched_new=0 | failed=3520
Scanned 3530/10000 | reused=0 | fetched_new=0 | failed=3530
Scanned 3540/10000 | reused=0 | fetched_new=0 | failed=3540
Scanned 3550/10000 | reused=0 | fetched_new=0 | failed=3550
Scanned 3560/10000 | reused=0 | fetched_new=0 | failed=3560
Scanned 3570/10000 | reused=0 | fetched_new=0 | failed=3570
Scanned 3580/10000 | reused=0 | fetched_new=0 | failed=3580
Scanned 3590/10000 | reused=0 | fetched_new=0 | failed=3590
Scanned 3600/10000 | reused=0 | fetched_new=0 | failed=3600
Scanned 3610/10000 | reused=0 | fetched_new=0 | failed=3610
Scanned 3620/10000 | reused=0 | fetched_new=0 | failed=3620
Scanned 3630/10000 | reused=0 | fetched_new=0 | failed=3630
Scanned 3640/10000 | reused=0 | fetched_new=0 | failed=3640
Scanned 3650/10000 | reused=0 | fetched_new=0 | failed=3650
Scanned 3660/10000 | reused=0 | fetched_new=0 | failed=3660
Scanned 3670/10000 | reused=0 | fetched_new=0 | failed=3670
Scanned 3680/10000 | reused=0 | fetched_new=0 | failed=3680
Scanned 3690/10000 | reused=0 | fetched_new=0 | failed=3690
Scanned 3700/10000 | reused=0 | fetched_new=0 | failed=3700
Scanned 3710/10000 | reused=0 | fetched_new=0 | failed=3710
Scanned 3720/10000 | reused=0 | fetched_new=0 | failed=3720
Scanned 3730/10000 | reused=0 | fetched_new=0 | failed=3730
Scanned 3740/10000 | reused=0 | fetched_new=0 | failed=3740
Scanned 3750/10000 | reused=0 | fetched_new=0 | failed=3750
Scanned 3760/10000 | reused=0 | fetched_new=0 | failed=3760
Scanned 3770/10000 | reused=0 | fetched_new=0 | failed=3770
Scanned 3780/10000 | reused=0 | fetched_new=0 | failed=3780
Scanned 3790/10000 | reused=0 | fetched_new=0 | failed=3790
Scanned 3800/10000 | reused=0 | fetched_new=0 | failed=3800
Scanned 3810/10000 | reused=0 | fetched_new=0 | failed=3810
Scanned 3820/10000 | reused=0 | fetched_new=0 | failed=3820
Scanned 3830/10000 | reused=0 | fetched_new=0 | failed=3830
Scanned 3840/10000 | reused=0 | fetched_new=0 | failed=3840
Scanned 3850/10000 | reused=0 | fetched_new=0 | failed=3850
Scanned 3860/10000 | reused=0 | fetched_new=0 | failed=3860
Scanned 3870/10000 | reused=0 | fetched_new=0 | failed=3870
Scanned 3880/10000 | reused=0 | fetched_new=0 | failed=3880
Scanned 3890/10000 | reused=0 | fetched_new=0 | failed=3890
Scanned 3900/10000 | reused=0 | fetched_new=0 | failed=3900
Scanned 3910/10000 | reused=0 | fetched_new=0 | failed=3910
Scanned 3920/10000 | reused=0 | fetched_new=0 | failed=3920
Scanned 3930/10000 | reused=0 | fetched_new=0 | failed=3930
Scanned 3940/10000 | reused=0 | fetched_new=0 | failed=3940
Scanned 3950/10000 | reused=0 | fetched_new=0 | failed=3950
Scanned 3960/10000 | reused=0 | fetched_new=0 | failed=3960
Scanned 3970/10000 | reused=0 | fetched_new=0 | failed=3970
Scanned 3980/10000 | reused=0 | fetched_new=0 | failed=3980
Scanned 3990/10000 | reused=0 | fetched_new=0 | failed=3990
Scanned 4000/10000 | reused=0 | fetched_new=0 | failed=4000
Scanned 4010/10000 | reused=0 | fetched_new=0 | failed=4010
Scanned 4020/10000 | reused=0 | fetched_new=0 | failed=4020
Scanned 4030/10000 | reused=0 | fetched_new=0 | failed=4030
Scanned 4040/10000 | reused=0 | fetched_new=0 | failed=4040
Scanned 4050/10000 | reused=0 | fetched_new=0 | failed=4050
Scanned 4060/10000 | reused=0 | fetched_new=0 | failed=4060
Scanned 4070/10000 | reused=0 | fetched_new=0 | failed=4070
Scanned 4080/10000 | reused=0 | fetched_new=0 | failed=4080
Scanned 4090/10000 | reused=0 | fetched_new=0 | failed=4090
Scanned 4100/10000 | reused=0 | fetched_new=0 | failed=4100
Scanned 4110/10000 | reused=0 | fetched_new=0 | failed=4110
Scanned 4120/10000 | reused=0 | fetched_new=0 | failed=4120
Scanned 4130/10000 | reused=0 | fetched_new=0 | failed=4130
Scanned 4140/10000 | reused=0 | fetched_new=0 | failed=4140
Scanned 4150/10000 | reused=0 | fetched_new=0 | failed=4150
Scanned 4160/10000 | reused=0 | fetched_new=0 | failed=4160
Scanned 4170/10000 | reused=0 | fetched_new=0 | failed=4170
Scanned 4180/10000 | reused=0 | fetched_new=0 | failed=4180
Scanned 4190/10000 | reused=0 | fetched_new=0 | failed=4190
Scanned 4200/10000 | reused=0 | fetched_new=0 | failed=4200
Scanned 4210/10000 | reused=0 | fetched_new=0 | failed=4210
Scanned 4220/10000 | reused=0 | fetched_new=0 | failed=4220
Scanned 4230/10000 | reused=0 | fetched_new=0 | failed=4230
Scanned 4240/10000 | reused=0 | fetched_new=0 | failed=4240
Scanned 4250/10000 | reused=0 | fetched_new=0 | failed=4250
Scanned 4260/10000 | reused=0 | fetched_new=0 | failed=4260
